shops,ratings,userids
laurent-bernard-chocolatier-singapore,5.0,835
laurent-bernard-chocolatier-singapore,5.0,1339
laurent-bernard-chocolatier-singapore,5.0,570
laurent-bernard-chocolatier-singapore,5.0,1788
laurent-bernard-chocolatier-singapore,5.0,2377
laurent-bernard-chocolatier-singapore,5.0,220
laurent-bernard-chocolatier-singapore,5.0,259
laurent-bernard-chocolatier-singapore,5.0,1087
laurent-bernard-chocolatier-singapore,5.0,2473
laurent-bernard-chocolatier-singapore,5.0,2043
starbucks-singapore-49,4.0,1802
starbucks-singapore-49,4.0,124
starbucks-singapore-49,4.0,2043
societe-canteen-singapore,3.0,185
societe-canteen-singapore,3.0,2043
arabica-singapore-3,5.0,1109
arabica-singapore-3,5.0,2043
toast-box-singapore-54,5.0,958
toast-box-singapore-54,5.0,1217
toast-box-singapore-54,5.0,1202
toast-box-singapore-54,5.0,2536
toast-box-singapore-54,5.0,505
toast-box-singapore-54,5.0,2043
group-therapy-coffee-singapore,4.0,186
group-therapy-coffee-singapore,4.0,1897
group-therapy-coffee-singapore,4.0,1684
group-therapy-coffee-singapore,4.0,2283
group-therapy-coffee-singapore,4.0,306
group-therapy-coffee-singapore,4.0,200
group-therapy-coffee-singapore,4.0,27
group-therapy-coffee-singapore,4.0,225
group-therapy-coffee-singapore,4.0,1074
group-therapy-coffee-singapore,4.0,424
group-therapy-coffee-singapore,4.0,500
group-therapy-coffee-singapore,4.0,1970
group-therapy-coffee-singapore,4.0,1623
group-therapy-coffee-singapore,4.0,1709
group-therapy-coffee-singapore,4.0,2212
group-therapy-coffee-singapore,4.0,1554
group-therapy-coffee-singapore,4.0,1667
group-therapy-coffee-singapore,4.0,250
group-therapy-coffee-singapore,4.0,209
group-therapy-coffee-singapore,4.0,198
group-therapy-coffee-singapore,4.0,2540
group-therapy-coffee-singapore,4.0,568
group-therapy-coffee-singapore,4.0,187
group-therapy-coffee-singapore,4.0,2326
group-therapy-coffee-singapore,4.0,970
group-therapy-coffee-singapore,4.0,1956
group-therapy-coffee-singapore,4.0,1681
group-therapy-coffee-singapore,4.0,177
group-therapy-coffee-singapore,4.0,713
group-therapy-coffee-singapore,4.0,2543
group-therapy-coffee-singapore,4.0,261
group-therapy-coffee-singapore,4.0,1452
group-therapy-coffee-singapore,4.0,236
group-therapy-coffee-singapore,4.0,2303
group-therapy-coffee-singapore,4.0,1966
group-therapy-coffee-singapore,4.0,898
group-therapy-coffee-singapore,4.0,987
group-therapy-coffee-singapore,4.0,2271
group-therapy-coffee-singapore,4.0,2473
group-therapy-coffee-singapore,4.0,1374
group-therapy-coffee-singapore,4.0,2027
group-therapy-coffee-singapore,4.0,103
group-therapy-coffee-singapore,4.0,1081
group-therapy-coffee-singapore,4.0,2528
group-therapy-coffee-singapore,4.0,1113
group-therapy-coffee-singapore,4.0,2043
hg-106-coffeeshop-singapore,5.0,16
hg-106-coffeeshop-singapore,5.0,2043
mob-cafe-singapore,5.0,358
mob-cafe-singapore,5.0,1807
mob-cafe-singapore,5.0,2202
mob-cafe-singapore,5.0,2043
the-coffee-bean-and-tea-leaf-singapore-54,3.0,1636
the-coffee-bean-and-tea-leaf-singapore-54,3.0,864
the-coffee-bean-and-tea-leaf-singapore-54,3.0,104
the-coffee-bean-and-tea-leaf-singapore-54,3.0,2043
omb-singapore-2,3.0,1493
omb-singapore-2,3.0,1123
omb-singapore-2,3.0,2125
omb-singapore-2,3.0,2043
d-good-cafe-singapore,4.0,186
d-good-cafe-singapore,4.0,1692
d-good-cafe-singapore,4.0,665
d-good-cafe-singapore,4.0,2494
d-good-cafe-singapore,4.0,626
d-good-cafe-singapore,4.0,306
d-good-cafe-singapore,4.0,2458
d-good-cafe-singapore,4.0,869
d-good-cafe-singapore,4.0,2254
d-good-cafe-singapore,4.0,1555
d-good-cafe-singapore,4.0,2466
d-good-cafe-singapore,4.0,2097
d-good-cafe-singapore,4.0,991
d-good-cafe-singapore,4.0,2096
d-good-cafe-singapore,4.0,2166
d-good-cafe-singapore,4.0,635
d-good-cafe-singapore,4.0,1075
d-good-cafe-singapore,4.0,27
d-good-cafe-singapore,4.0,1497
d-good-cafe-singapore,4.0,105
d-good-cafe-singapore,4.0,755
d-good-cafe-singapore,4.0,257
d-good-cafe-singapore,4.0,2508
d-good-cafe-singapore,4.0,60
d-good-cafe-singapore,4.0,1168
d-good-cafe-singapore,4.0,1412
d-good-cafe-singapore,4.0,399
d-good-cafe-singapore,4.0,304
d-good-cafe-singapore,4.0,1458
d-good-cafe-singapore,4.0,2386
d-good-cafe-singapore,4.0,2043
spize-singapore-2,5.0,1632
spize-singapore-2,5.0,242
spize-singapore-2,5.0,2497
spize-singapore-2,5.0,1196
spize-singapore-2,5.0,1280
spize-singapore-2,5.0,833
spize-singapore-2,5.0,321
spize-singapore-2,5.0,1075
spize-singapore-2,5.0,2232
spize-singapore-2,5.0,1339
spize-singapore-2,5.0,1421
spize-singapore-2,5.0,154
spize-singapore-2,5.0,23
spize-singapore-2,5.0,581
spize-singapore-2,5.0,221
spize-singapore-2,5.0,865
spize-singapore-2,5.0,2094
spize-singapore-2,5.0,2091
spize-singapore-2,5.0,2187
spize-singapore-2,5.0,2346
spize-singapore-2,5.0,183
spize-singapore-2,5.0,938
spize-singapore-2,5.0,299
spize-singapore-2,5.0,164
spize-singapore-2,5.0,1017
spize-singapore-2,5.0,1801
spize-singapore-2,5.0,2279
spize-singapore-2,5.0,607
spize-singapore-2,5.0,921
spize-singapore-2,5.0,1515
spize-singapore-2,5.0,1276
spize-singapore-2,5.0,2391
spize-singapore-2,5.0,1542
spize-singapore-2,5.0,2016
spize-singapore-2,5.0,1635
spize-singapore-2,5.0,570
spize-singapore-2,5.0,1193
spize-singapore-2,5.0,178
spize-singapore-2,5.0,465
spize-singapore-2,5.0,1277
spize-singapore-2,5.0,1289
spize-singapore-2,5.0,2473
spize-singapore-2,5.0,1898
spize-singapore-2,5.0,2043
dapper-coffee-singapore-2,4.0,173
dapper-coffee-singapore-2,4.0,776
dapper-coffee-singapore-2,4.0,91
dapper-coffee-singapore-2,4.0,2237
dapper-coffee-singapore-2,4.0,1599
dapper-coffee-singapore-2,4.0,2043
mr-teh-tarik-eating-house-singapore-5,5.0,848
mr-teh-tarik-eating-house-singapore-5,5.0,50
mr-teh-tarik-eating-house-singapore-5,5.0,2043
dc-comics-super-heroes-cafe-singapore,3.0,796
dc-comics-super-heroes-cafe-singapore,3.0,391
dc-comics-super-heroes-cafe-singapore,3.0,320
dc-comics-super-heroes-cafe-singapore,3.0,414
dc-comics-super-heroes-cafe-singapore,3.0,1651
dc-comics-super-heroes-cafe-singapore,3.0,2313
dc-comics-super-heroes-cafe-singapore,3.0,91
dc-comics-super-heroes-cafe-singapore,3.0,989
dc-comics-super-heroes-cafe-singapore,3.0,1005
dc-comics-super-heroes-cafe-singapore,3.0,839
dc-comics-super-heroes-cafe-singapore,3.0,2102
dc-comics-super-heroes-cafe-singapore,3.0,2494
dc-comics-super-heroes-cafe-singapore,3.0,1039
dc-comics-super-heroes-cafe-singapore,3.0,2284
dc-comics-super-heroes-cafe-singapore,3.0,1071
dc-comics-super-heroes-cafe-singapore,3.0,189
dc-comics-super-heroes-cafe-singapore,3.0,2043
coffee-club-singapore-5,5.0,2090
coffee-club-singapore-5,5.0,1288
coffee-club-singapore-5,5.0,322
